#Time(s) flow thruput(Mb/s)
0.92s 4 0
0.92s 5 247.898
0.92s 6 56.7616
0.92s 7 0
0.92s 8 189.978
0.92s 9 0
0.93s 0 0
0.93s 1 0
0.93s 2 0
0.93s 3 0
0.93s 4 108.89
0.93s 5 6.9504
0.93s 6 74.1376
0.93s 7 1.1584
0.93s 8 360.262
0.93s 9 0
0.94s 0 0
0.94s 1 218.938
0.94s 2 0
0.94s 3 1.1584
0.94s 4 122.79
0.94s 5 1.1584
0.94s 6 1.1584
0.94s 7 0
0.94s 8 340.57
0.94s 9 0
0.95s 0 30.1184
0.95s 1 205.037
0.95s 2 0
0.95s 3 0
0.95s 4 149.434
0.95s 5 0
0.95s 6 0
0.95s 7 2.3168
0.95s 8 454.093
0.95s 9 0
0.96s 0 17.376
0.96s 1 0
0.96s 2 0
0.96s 3 59.0784
0.96s 4 1.1584
0.96s 5 127.424
0.96s 6 90.3552
0.96s 7 1.1584
0.96s 8 39.3856
0.96s 9 0
0.97s 0 57.92
0.97s 1 101.939
0.97s 2 3.4752
0.97s 3 60.2368
0.97s 4 118.157
0.97s 5 129.741
0.97s 6 140.166
0.97s 7 0
0.97s 8 127.424
0.97s 9 0
0.98s 0 45.1776
0.98s 1 70.6624
0.98s 2 4.6336
0.98s 3 232.838
0.98s 4 11.584
0.98s 5 34.752
0.98s 6 0
0.98s 7 40.544
0.98s 8 84.5632
0.98s 9 0
0.99s 0 57.92
0.99s 1 25.4848
0.99s 2 47.4944
0.99s 3 106.573
0.99s 4 22.0096
0.99s 5 31.2768
0.99s 6 16.2176
0.99s 7 37.0688
0.99s 8 70.6624
0.99s 9 0
1s 0 79.9296
1s 1 180.71
1s 2 2.3168
1s 3 101.939
1s 4 1.1584
1s 5 1.1584
1s 6 243.264
1s 7 33.5936
1s 8 41.7024
1s 9 74.1376
1.01s 0 35.9104
1.01s 1 2.3168
1.01s 2 1.1584
1.01s 3 11.584
1.01s 4 0
1.01s 5 0
1.01s 6 33.5936
1.01s 7 1.1584
1.01s 8 31.2768
1.01s 9 41.7024
1.02s 0 99.6224
1.02s 1 111.206
1.02s 2 0
1.02s 3 244.422
1.02s 4 13.9008
1.02s 5 17.376
1.02s 6 42.8608
1.02s 7 0
1.02s 8 207.354
1.02s 9 208.512
1.03s 0 17.376
1.03s 1 34.752
1.03s 2 113.523
1.03s 3 98.464
1.03s 4 19.6928
1.03s 5 20.8512
1.03s 6 39.3856
1.03s 7 3.4752
1.03s 8 22.0096
1.03s 9 17.376
1.04s 0 81.088
1.04s 1 108.89
1.04s 2 211.987
1.04s 3 1.1584
1.04s 4 40.544
1.04s 5 20.8512
1.04s 6 196.928
1.04s 7 91.5136
1.04s 8 74.1376
1.04s 9 112.365
1.05s 0 3.4752
1.05s 1 37.0688
1.05s 2 110.048
1.05s 3 0
1.05s 4 11.584
1.05s 5 1.1584
1.05s 6 19.6928
1.05s 7 13.9008
1.05s 8 1.1584
1.05s 9 89.1968
1.06s 0 159.859
1.06s 1 41.7024
1.06s 2 192.294
1.06s 3 0
1.06s 4 35.9104
1.06s 5 0
1.06s 6 78.7712
1.06s 7 134.374
1.06s 8 35.9104
1.06s 9 133.216
1.07s 0 1.1584
1.07s 1 364.896
1.07s 2 62.5536
1.07s 3 1.1584
1.07s 4 0
1.07s 5 0
1.07s 6 34.752
1.07s 7 0
1.07s 8 75.296
1.07s 9 18.5344
1.08s 0 6.9504
1.08s 1 142.483
1.08s 2 83.4048
1.08s 3 0
1.08s 4 8.1088
1.08s 5 4.6336
1.08s 6 61.3952
1.08s 7 16.2176
1.08s 8 47.4944
1.08s 9 23.168
1.09s 0 221.254
1.09s 1 81.088
1.09s 2 15.0592
1.09s 3 11.584
1.09s 4 39.3856
1.09s 5 115.84
1.09s 6 57.92
1.09s 7 119.315
1.09s 8 55.6032
1.09s 9 1.1584
1.1s 0 92.672
1.1s 1 6.9504
1.1s 2 3.4752
1.1s 3 6.9504
1.1s 4 23.168
1.1s 5 39.3856
1.1s 6 11.584
1.1s 7 11.584
1.1s 8 10.4256
1.1s 9 0
1.11s 0 61.3952
1.11s 1 135.533
1.11s 2 105.414
1.11s 3 1.1584
1.11s 4 22.0096
1.11s 5 224.73
1.11s 6 105.414
1.11s 7 157.542
1.11s 8 134.374
1.11s 9 15.0592
1.12s 0 0
1.12s 1 32.4352
1.12s 2 105.414
1.12s 3 0
1.12s 4 1.1584
1.12s 5 141.325
1.12s 6 0
1.12s 7 11.584
1.12s 8 5.792
1.12s 9 2.3168
1.13s 0 34.752
1.13s 1 16.2176
1.13s 2 178.394
1.13s 3 9.2672
1.13s 4 0
1.13s 5 137.85
1.13s 6 81.088
1.13s 7 161.018
1.13s 8 45.1776
1.13s 9 39.3856
1.14s 0 1.1584
1.14s 1 1.1584
1.14s 2 50.9696
1.14s 3 1.1584
1.14s 4 9.2672
1.14s 5 97.3056
1.14s 6 338.253
1.14s 7 27.8016
1.14s 8 1.1584
1.14s 9 31.2768
1.15s 0 0
1.15s 1 0
1.15s 2 181.869
1.15s 3 0
1.15s 4 70.6624
1.15s 5 156.384
1.15s 6 233.997
1.15s 7 136.691
1.15s 8 0
1.15s 9 128.582
1.16s 0 166.81
1.16s 1 174.918
1.16s 2 30.1184
1.16s 3 52.128
1.16s 4 106.573
1.16s 5 47.4944
1.16s 6 53.2864
1.16s 7 56.7616
1.16s 8 13.9008
1.16s 9 1.1584
1.17s 0 256.006
1.17s 1 157.542
1.17s 2 99.6224
1.17s 3 82.2464
1.17s 4 1.1584
1.17s 5 1.1584
1.17s 6 78.7712
1.17s 7 3.4752
1.17s 8 72.9792
1.17s 9 34.752
1.18s 0 0
1.18s 1 132.058
1.18s 2 3.4752
1.18s 3 77.6128
1.18s 4 0
1.18s 5 240.947
1.18s 6 2.3168
1.18s 7 42.8608
1.18s 8 16.2176
1.18s 9 115.84
1.19s 0 6.9504
1.19s 1 40.544
1.19s 2 27.8016
1.19s 3 59.0784
1.19s 4 3.4752
1.19s 5 126.266
1.19s 6 42.8608
1.19s 7 12.7424
1.19s 8 38.2272
1.19s 9 97.3056
1.2s 0 207.354
