#Time(s) flow thruput(Mb/s)
0.39s 5 951.91
0.39s 6 952.32
0.39s 7 1305.4
0.39s 8 0
0.39s 9 0
0.39s 10 0
0.39s 11 0
0.39s 12 0
0.39s 13 0
0.39s 14 0
0.39s 15 0
0.39s 16 0
0.39s 17 0
0.39s 18 0
0.39s 19 0
0.4s 0 953.139
0.4s 1 951.091
0.4s 2 953.549
0.4s 3 953.139
0.4s 4 952.32
0.4s 5 956.826
0.4s 6 953.549
0.4s 7 963.789
0.4s 8 0
0.4s 9 0
0.4s 10 0
0.4s 11 0
0.4s 12 0
0.4s 13 0
0.4s 14 0
0.4s 15 0
0.4s 16 0
0.4s 17 0
0.4s 18 0
0.4s 19 0
0.41s 0 952.32
0.41s 1 953.139
0.41s 2 953.139
0.41s 3 951.91
0.41s 4 952.32
0.41s 5 958.054
0.41s 6 951.91
0.41s 7 956.826
0.41s 8 0
0.41s 9 0
0.41s 10 0
0.41s 11 0
0.41s 12 0
0.41s 13 0
0.41s 14 0
0.41s 15 0
0.41s 16 0
0.41s 17 0
0.41s 18 0
0.41s 19 0
0.42s 0 953.139
0.42s 1 953.139
0.42s 2 953.139
0.42s 3 953.139
0.42s 4 952.32
0.42s 5 953.958
0.42s 6 952.32
0.42s 7 953.549
0.42s 8 0
0.42s 9 0
0.42s 10 0
0.42s 11 0
0.42s 12 0
0.42s 13 0
0.42s 14 0
0.42s 15 0
0.42s 16 0
0.42s 17 0
0.42s 18 0
0.42s 19 0
0.43s 0 951.91
0.43s 1 953.139
0.43s 2 951.501
0.43s 3 953.139
0.43s 4 953.549
0.43s 5 952.32
0.43s 6 952.32
0.43s 7 952.32
0.43s 8 0
0.43s 9 0
0.43s 10 0
0.43s 11 0
0.43s 12 0
0.43s 13 0
0.43s 14 0
0.43s 15 0
0.43s 16 0
0.43s 17 0
0.43s 18 0
0.43s 19 0
0.44s 0 953.958
0.44s 1 953.139
0.44s 2 953.958
0.44s 3 953.139
0.44s 4 952.32
0.44s 5 952.32
0.44s 6 954.368
0.44s 7 951.91
0.44s 8 0
0.44s 9 0
0.44s 10 0
0.44s 11 0
0.44s 12 0
0.44s 13 0
0.44s 14 0
0.44s 15 0
0.44s 16 0
0.44s 17 0
0.44s 18 0
0.44s 19 0
0.45s 0 951.501
0.45s 1 952.73
0.45s 2 951.091
0.45s 3 953.139
0.45s 4 953.139
0.45s 5 953.549
0.45s 6 952.32
0.45s 7 952.32
0.45s 8 1787.49
0.45s 9 0
0.45s 10 0
0.45s 11 0
0.45s 12 0
0.45s 13 0
0.45s 14 0
0.45s 15 0
0.45s 16 0
0.45s 17 0
0.45s 18 0
0.45s 19 0
0.46s 0 953.139
0.46s 1 953.139
0.46s 2 953.139
0.46s 3 953.139
0.46s 4 953.139
0.46s 5 952.32
0.46s 6 962.15
0.46s 7 954.368
0.46s 8 961.741
0.46s 9 0
0.46s 10 0
0.46s 11 0
0.46s 12 0
0.46s 13 0
0.46s 14 0
0.46s 15 0
0.46s 16 0
0.46s 17 0
0.46s 18 0
0.46s 19 0
0.47s 0 953.139
0.47s 1 951.091
0.47s 2 951.91
0.47s 3 951.091
0.47s 4 951.091
0.47s 5 952.32
0.47s 6 952.32
0.47s 7 950.272
0.47s 8 952.32
0.47s 9 0
0.47s 10 0
0.47s 11 0
0.47s 12 0
0.47s 13 0
0.47s 14 0
0.47s 15 0
0.47s 16 0
0.47s 17 0
0.47s 18 0
0.47s 19 0
0.48s 0 952.73
0.48s 1 953.139
0.48s 2 953.139
0.48s 3 953.139
0.48s 4 953.139
0.48s 5 952.32
0.48s 6 953.549
0.48s 7 954.368
0.48s 8 952.32
0.48s 9 0
0.48s 10 0
0.48s 11 0
0.48s 12 0
0.48s 13 0
0.48s 14 0
0.48s 15 0
0.48s 16 0
0.48s 17 0
0.48s 18 0
0.48s 19 0
0.49s 0 953.139
0.49s 1 952.32
0.49s 2 953.139
0.49s 3 951.91
0.49s 4 953.139
0.49s 5 953.958
0.49s 6 952.32
0.49s 7 952.32
0.49s 8 952.32
0.49s 9 0
0.49s 10 0
0.49s 11 0
0.49s 12 0
0.49s 13 0
0.49s 14 0
0.49s 15 0
0.49s 16 0
0.49s 17 0
0.49s 18 0
0.49s 19 0
0.5s 0 952.32
0.5s 1 953.139
0.5s 2 952.32
0.5s 3 953.549
0.5s 4 953.139
0.5s 5 952.32
0.5s 6 952.32
0.5s 7 951.501
0.5s 8 952.32
0.5s 9 1305.4
0.5s 10 0
0.5s 11 0
0.5s 12 0
0.5s 13 0
0.5s 14 0
0.5s 15 0
0.5s 16 0
0.5s 17 0
0.5s 18 0
0.5s 19 0
0.51s 0 919.552
0.51s 1 921.6
0.51s 2 921.6
0.51s 3 919.962
0.51s 4 919.962
0.51s 5 920.781
0.51s 6 919.962
0.51s 7 923.648
0.51s 8 922.419
0.51s 9 930.202
0.51s 10 0
0.51s 11 0
0.51s 12 0
0.51s 13 0
0.51s 14 0
0.51s 15 0
0.51s 16 0
0.51s 17 0
0.51s 18 0
0.51s 19 0
0.52s 0 951.501
0.52s 1 949.862
0.52s 2 951.091
0.52s 3 952.32
0.52s 4 951.091
0.52s 5 950.682
0.52s 6 951.91
0.52s 7 954.778
0.52s 8 951.501
0.52s 9 935.936
0.52s 10 0
0.52s 11 0
0.52s 12 0
0.52s 13 0
0.52s 14 0
0.52s 15 0
0.52s 16 0
0.52s 17 0
0.52s 18 0
0.52s 19 0
0.53s 0 963.789
0.53s 1 963.789
0.53s 2 963.789
0.53s 3 962.56
0.53s 4 963.789
0.53s 5 963.789
0.53s 6 963.789
0.53s 7 963.789
0.53s 8 962.56
0.53s 9 55.7056
0.53s 10 0
0.53s 11 0
0.53s 12 0
0.53s 13 0
0.53s 14 0
0.53s 15 0
0.53s 16 0
0.53s 17 0
0.53s 18 0
0.53s 19 0
0.54s 0 961.331
0.54s 1 962.56
0.54s 2 961.331
0.54s 3 961.741
0.54s 4 962.15
0.54s 5 961.331
0.54s 6 961.741
0.54s 7 954.778
0.54s 8 961.331
0.54s 9 2.4576
0.54s 10 0
0.54s 11 0
0.54s 12 0
0.54s 13 0
0.54s 14 0
0.54s 15 0
0.54s 16 0
0.54s 17 0
0.54s 18 0
0.54s 19 0
0.55s 0 953.549
0.55s 1 952.32
0.55s 2 953.549
0.55s 3 954.368
0.55s 4 951.91
0.55s 5 951.501
0.55s 6 952.32
0.55s 7 954.368
0.55s 8 953.549
0.55s 9 1.2288
0.55s 10 0
0.55s 11 0
0.55s 12 0
0.55s 13 0
0.55s 14 0
0.55s 15 0
0.55s 16 0
0.55s 17 0
0.55s 18 0
0.55s 19 0
0.56s 0 952.32
0.56s 1 953.139
0.56s 2 952.32
0.56s 3 951.091
0.56s 4 953.139
0.56s 5 953.139
0.56s 6 952.32
0.56s 7 951.091
0.56s 8 951.091
0.56s 9 0.8192
0.56s 10 1757.18
0.56s 11 0
0.56s 12 0
0.56s 13 0
0.56s 14 0
0.56s 15 0
0.56s 16 0
0.56s 17 0
0.56s 18 0
0.56s 19 0
0.57s 0 960.102
0.57s 1 960.102
0.57s 2 960.102
0.57s 3 962.15
0.57s 4 959.693
0.57s 5 960.102
0.57s 6 959.693
0.57s 7 962.56
0.57s 8 962.15
0.57s 9 1.2288
0.57s 10 332.595
0.57s 11 0
0.57s 12 0
0.57s 13 0
0.57s 14 0
0.57s 15 0
0.57s 16 0
0.57s 17 0
0.57s 18 0
0.57s 19 0
0.58s 0 961.331
0.58s 1 961.741
0.58s 2 961.331
0.58s 3 960.102
0.58s 4 962.56
0.58s 5 962.56
0.58s 6 961.331
0.58s 7 960.102
0.58s 8 961.331
0.58s 9 1.2288
0.58s 10 2.4576
0.58s 11 0
0.58s 12 0
0.58s 13 0
0.58s 14 0
0.58s 15 0
0.58s 16 0
0.58s 17 0
0.58s 18 0
0.58s 19 0
0.59s 0 953.549
0.59s 1 952.32
0.59s 2 953.549
0.59s 3 953.958
0.59s 4 952.32
0.59s 5 952.32
0.59s 6 953.549
0.59s 7 953.958
0.59s 8 952.32
0.59s 9 1.2288
0.59s 10 452.608
0.59s 11 0
0.59s 12 0
0.59s 13 0
0.59s 14 0
0.59s 15 0
0.59s 16 0
0.59s 17 0
0.59s 18 0
0.59s 19 0
0.6s 0 953.139
0.6s 1 953.549
0.6s 2 951.091
0.6s 3 951.501
0.6s 4 953.958
0.6s 5 953.139
0.6s 6 952.32
0.6s 7 951.501
0.6s 8 953.139
0.6s 9 1.2288
0.6s 10 821.248
0.6s 11 0
0.6s 12 0
0.6s 13 0
0.6s 14 0
0.6s 15 0
0.6s 16 0
0.6s 17 0
0.6s 18 0
0.6s 19 0
0.61s 0 960.512
0.61s 1 960.102
0.61s 2 962.15
0.61s 3 961.331
0.61s 4 959.283
0.61s 5 959.283
0.61s 6 960.922
0.61s 7 961.331
0.61s 8 960.102
0.61s 9 1.2288
0.61s 10 819.2
0.61s 11 1153.84
0.61s 12 0
0.61s 13 0
0.61s 14 0
0.61s 15 0
0.61s 16 0
0.61s 17 0
0.61s 18 0
0.61s 19 0
0.62s 0 960.102
0.62s 1 958.874
0.62s 2 958.874
0.62s 3 960.102
0.62s 4 961.331
0.62s 5 961.331
0.62s 6 960.102
0.62s 7 958.874
0.62s 8 959.283
0.62s 9 0.8192
0.62s 10 108.954
0.62s 11 18.432
0.62s 12 0
0.62s 13 0
0.62s 14 0
0.62s 15 0
0.62s 16 0
0.62s 17 0
0.62s 18 0
0.62s 19 0
0.63s 0 956.416
0.63s 1 959.283
0.63s 2 959.283
0.63s 3 956.826
0.63s 4 956.826
0.63s 5 957.235
0.63s 6 957.645
0.63s 7 958.054
0.63s 8 963.789
0.63s 9 1.2288
0.63s 10 2.048
0.63s 11 1.2288
0.63s 12 0
0.63s 13 0
0.63s 14 0
0.63s 15 0
0.63s 16 0
0.63s 17 0
0.63s 18 0
0.63s 19 0
0.64s 0 953.549
0.64s 1 952.32
0.64s 2 950.272
0.64s 3 952.32
0.64s 4 953.139
0.64s 5 953.139
0.64s 6 953.958
0.64s 7 951.91
0.64s 8 965.018
0.64s 9 1.2288
0.64s 10 444.006
0.64s 11 1.2288
0.64s 12 0
0.64s 13 0
0.64s 14 0
0.64s 15 0
0.64s 16 0
0.64s 17 0
0.64s 18 0
0.64s 19 0
0.65s 0 957.235
0.65s 1 956.006
0.65s 2 958.464
0.65s 3 955.597
0.65s 4 956.416
0.65s 5 953.958
0.65s 6 955.187
0.65s 7 956.006
0.65s 8 961.331
0.65s 9 1.2288
0.65s 10 756.122
0.65s 11 0.8192
0.65s 12 0
0.65s 13 0
0.65s 14 0
0.65s 15 0
0.65s 16 0
0.65s 17 0
0.65s 18 0
0.65s 19 0
0.66s 0 962.15
0.66s 1 962.56
0.66s 2 963.379
0.66s 3 964.608
0.66s 4 962.56
0.66s 5 965.018
0.66s 6 963.789
0.66s 7 964.608
0.66s 8 966.246
0.66s 9 1.2288
0.66s 10 792.576
0.66s 11 1.2288
0.66s 12 0
0.66s 13 0
0.66s 14 0
0.66s 15 0
0.66s 16 0
0.66s 17 0
0.66s 18 0
0.66s 19 0
0.67s 0 965.018
0.67s 1 960.102
0.67s 2 963.789
0.67s 3 962.56
0.67s 4 964.608
0.67s 5 965.018
0.67s 6 965.837
0.67s 7 962.97
0.67s 8 963.789
0.67s 9 1.2288
0.67s 10 681.165
0.67s 11 1.2288
0.67s 12 881.459
0.67s 13 0
0.67s 14 0
0.67s 15 0
0.67s 16 0
0.67s 17 0
0.67s 18 0
0.67s 19 0
0.68s 0 965.018
0.68s 1 961.331
0.68s 2 965.018
0.68s 3 965.018
0.68s 4 962.56
0.68s 5 965.018
0.68s 6 963.789
0.68s 7 963.789
0.68s 8 965.018
0.68s 9 0.8192
0.68s 10 738.918
0.68s 11 1.2288
0.68s 12 1.2288
0.68s 13 0
0.68s 14 0
0.68s 15 0
0.68s 16 0
0.68s 17 0
0.68s 18 0
0.68s 19 0
0.69s 0 963.379
0.69s 1 962.56
0.69s 2 961.331
0.69s 3 962.56
0.69s 4 962.56
0.69s 5 962.15
0.69s 6 962.15
0.69s 7 963.789
0.69s 8 963.789
0.69s 9 1.2288
0.69s 10 944.128
0.69s 11 1.2288
0.69s 12 2.4576
0.69s 13 0
0.69s 14 0
0.69s 15 0
0.69s 16 0
0.69s 17 0
0.69s 18 0
0.69s 19 0
0.7s 0 957.645
0.7s 1 960.102
0.7s 2 960.102
0.7s 3 962.15
0.7s 4 962.15
0.7s 5 958.874
